"X","newMark","accode","schemerefno","monthly","monthly_ab_consumed","no_of_transactions","monthly_per_ab_del","monthly_ab_del","monthly_per_ab_id","monthly_ab_id","monthly_per_ab_opt","monthly_ab_opt","monthly_per_ab_fut","monthly_ab_fut","Mark","mark10","mark25","mark50","mark75","mark100","mark10t","mark25t","mark50t","mark75t","mark100t","no_of_schemes","tenure","behavioural"
"1",0,"10100081",91246,"2017-03",8083.6275,14,1.0700332245641,86.4975,0,0,0,0,98.9299667754359,7997.13,0,1,1,1,1,0,3,6,11,11,0,1,4717,"Ultra_Delivery"
"2",0,"10100081",91246,"2017-04",1741.1425,2,0,0,0,0,0,0,110.151811238885,1917.9,0,1,1,1,1,0,3,6,11,11,0,1,4748,"Ultra_Delivery"
"3",0,"10100081",95319,"2017-05",1,4,0,0,0,0,0,0,120559.5,1205.595,0,1,1,1,1,1,4,4,4,4,4,2,4778,"Ultra_Delivery"
"4",0,"10100081",95471,"2017-05",4939.81,11,0,0,0,0,0,0,100,4939.81,0,1,1,0,0,0,4,7,0,0,0,3,4778,"Ultra_Delivery"
"5",0,"10100634",71476,"2016-03",NA,9,NA,968.167067856237,NA,35.5320957143763,NA,0,NA,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,4324,"Ultra_Delivery"
"6",0,"10100634",72035,"2016-03",NA,5,NA,1202.034,NA,14.498325,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,4324,"Ultra_Delivery"
"7",0,"10100634",72035,"2016-04",994.321876586918,18,303.811940360211,3020.86858668478,3.73772841638499,37.1650513315217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4355,"Ultra_Delivery"
"8",0,"10100634",72035,"2016-05",2767.64921938855,21,98.3637074952507,2722.36238265394,1.63629250474926,45.2868367346061,0,0,0,0,0,1,0,0,0,0,30,0,0,0,0,2,4385,"Ultra_Delivery"
"9",0,"10100634",72035,"2016-06",3029.24054282435,22,97.3150695810554,2947.90754202705,2.68493041894465,81.3330007972949,0,0,0,0,0,1,1,0,0,0,30,46,0,0,0,2,4416,"Ultra_Delivery"
"10",0,"10100634",72035,"2016-07",2591.54865568182,19,97.8726967271937,2536.41855631313,2.1273032728063,55.1300993686869,0,0,0,0,0,1,1,0,0,0,30,46,0,0,0,2,4446,"Ultra_Delivery"
"11",0,"10100634",72035,"2016-08",2434.27644375,23,96.6476011194404,2352.6697875,3.35239888055956,81.60665625,0,0,0,0,0,1,1,1,1,0,30,46,83,102,0,2,4477,"Ultra_Delivery"
"12",1,"10100634",72035,"2016-09",4453.14344952537,22,97.589254992504,4345.7895161393,2.41074500749606,107.35393338607,0,0,0,0,1,1,1,1,1,0,30,46,83,102,0,2,4508,"Ultra_Delivery"
"13",1,"10100634",72035,"2016-10",2482.17701702091,16,97.7945335906496,2427.4334366899,2.69868465752724,66.9861303310104,0,0,0,0,0,1,1,1,1,1,30,46,83,102,139,2,4538,"Ultra_Delivery"
"14",0,"10100634",86636,"2016-12",37.875,2,206.075907590759,78.05125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4599,"Ultra_Delivery"
"15",0,"10100634",86636,"2017-01",713.733968576367,21,503.494462218105,3593.61100675152,11.2011919489151,79.9467118248481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4630,"Ultra_Delivery"
"16",0,"10100634",86636,"2017-02",2684.75623528846,16,98.1335089454569,2634.64550032051,1.86649105454316,50.1107349679487,0,0,0,0,0,1,0,0,0,0,29,0,0,0,0,3,4661,"Ultra_Delivery"
"17",0,"10100634",86636,"2017-03",2018.67696646696,20,97.957692424314,1977.44937385217,2.04230757568599,41.2275926147828,0,0,0,0,0,1,1,0,0,0,29,50,0,0,0,3,4689,"Ultra_Delivery"
"18",0,"10100634",86636,"2017-04",2932.04781480138,17,97.7587737211703,2866.33398866819,2.2412262788297,65.7138261331805,0,0,0,0,0,1,1,0,0,0,29,50,0,0,0,3,4720,"Ultra_Delivery"
"19",0,"10100634",86636,"2017-05",3414.77571809102,22,97.1795926862559,3318.46513399002,2.82040731374414,96.3105841009979,0,0,0,0,0,1,1,1,0,0,29,50,86,0,0,3,4750,"Ultra_Delivery"
"20",0,"10100634",86636,"2017-06",766.936386394461,5,95.2848854310447,730.774457104957,4.71511456895526,36.1619292895043,0,0,0,0,0,1,1,1,0,0,29,50,86,0,0,3,4781,"Ultra_Delivery"
"21",0,"10100637",71475,"2016-03",NA,9,NA,1732.48761881203,NA,55.7082456187965,NA,0,NA,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,4352,"Ultra_Delivery"
"22",0,"10100637",72034,"2016-03",NA,5,NA,662.26355,NA,13.539415,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,4352,"Ultra_Delivery"
"23",0,"10100637",72034,"2016-04",941.541681930831,19,263.329528854798,2479.357275,9.11925293885265,85.8615675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4383,"Ultra_Delivery"
"24",0,"10100637",72034,"2016-05",2823.82191800842,21,97.6813725861172,2758.34800889825,2.31862741388284,65.4739091101754,0,0,0,0,0,1,0,0,0,0,33,0,0,0,0,2,4413,"Ultra_Delivery"
